Diet,Phylum,Mean,SE
Captive,Actinobacteria,0.175104926,0.039210306
Captive,Bacteria_unclassified,1.26192305,0.801081184
Captive,Bacteroidetes,36.09105197,1.71357847
Captive,Cyanobacteria,0.817788636,0.241150583
Captive,Elusimicrobia,0.019899963,0.005554775
Captive,Epsilonbacteraeota,0.124191966,0.081380455
Captive,Firmicutes,57.55634669,1.923358163
Captive,Kiritimatiellaeota,0.171898775,0.167270181
Captive,Proteobacteria,1.358560129,0.352437387
Captive,Tenericutes,0.99662754,0.36126326
Captive,Verrucomicrobia,1.425274976,0.342415918
Wild,Actinobacteria,0.276068608,0.05808646
Wild,Bacteria_unclassified,1.420939398,0.569279509
Wild,Bacteroidetes,24.64369359,4.706940949
Wild,Cyanobacteria,3.268785779,0.576459118
Wild,Elusimicrobia,0.292917331,0.110805697
Wild,Epsilonbacteraeota,0.682554864,0.470859917
Wild,Firmicutes,65.56723123,4.675642426
Wild,Kiritimatiellaeota,0.013929129,0.013929129
Wild,Proteobacteria,0.885015543,0.081246886
Wild,Tenericutes,1.90323664,0.659235594
Wild,Verrucomicrobia,1.045627889,0.363758061
